company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,required_skill,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
capgemini,system security engineer,system security engineer,2-6,2,4.0,6,junior (3–5),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['checkpoint', 'presentation skills', 'networking', 'troubleshooting', 'fortigate', 'switching', 'network security', 'information security', 'bgp', 'siem', 'juniper', 'ccnp', 'asa', 'ospf', 'routing', 'cisco asa', 'firewall', 'srx', 'cisco', 'ccna', 'juniper routers']",0,0,0,0,0,0,0,0,0,0,0,"['Role: System Security Engineer', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']"
itc infotech,security engineer,security engineer,3-5,3,4.0,5,junior (3–5),pune,pune,pune,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['siem', 'dlp']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']"
foxconn,security officer,security officer,3-5,3,4.0,5,junior (3–5),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cyber security', 'system administration', 'data visualization', 'it infrastructure', 'sql']",0,1,0,0,0,0,0,0,0,0,0,"['Role: Security Officer - Other', 'Industry Type: Electronics Manufacturing (Electronic Manufacturing Services (EMS))', 'Department: Security Services', 'Employment Type: Full Time, Permanent', 'Role Category: Security Officer', 'UG: Any Graduate', 'PG: Any Postgraduate']"
naukri hospitality jobs,security officer,security officer,2-4,2,3.0,4,junior (3–5),varanasi,varanasi,varanasi,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['security management', 'security operations', 'security compliance', 'emergency response', 'inspection', 'cyber security', 'fire safety', 'security training', 'information security', 'corporate security', 'vulnerability management', 'vulnerability assessment', 'physical security']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Security Officer - Other', 'Industry Type: Hotels & Restaurants', 'Department: Security Services', 'Employment Type: Full Time, Permanent', 'Role Category: Security Officer', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']"
tapad,security engineer,security engineer,5-10,5,7.5,10,mid (6–8),hyderabad,hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['linux', 'information security', 'soc', 'agile', 'healthcare', 'windows', 'automotive', 'financial services', 'python', 'system administration']",1,0,0,0,0,0,0,0,0,0,0,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']"
unknown company,network,network,4-9,4,6.5,9,mid (6–8),maharashtra,maharashtra,maharashtra,state,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['network security', 'tcp', 'security analysis', 'soc', 'ip', 'dns', 'information security', 'networking', 'ddos', 'siem', 'ssl', 'f5', 'wireshark', 'rca', 'network performance', 'capacity planning', 'firewall', 'troubleshooting', 'firmware', 'itil', 'web application firewall']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Network (Support) Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: MCA in Computers']"
sigma byte,business development manager,business development manager,3-5,3,4.0,5,junior (3–5),mumbai,mumbai,mumbai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cyber security', 'cloud sales', 'it', 'business development management', 'it sales']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Development Manager (BDM)', 'Industry Type: Hardware & Networking', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: BD / Pre Sales', 'UG: B.B.A/ B.M.S in Management']"
cygnus,technical architect,technical architect,10-20,10,15.0,20,lead (13+),hyderabad,hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cyber security', 'penetration testing', 'certified', 'iot', 'oscp', 'ceh', 'technical specialist-']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Technical Architect', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']"
ibm,it support,it support,1-3,1,2.0,3,entry (0–2),mumbai,mumbai,mumbai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['antivirus', 'vulnerability management', 'siem', 'qualys', 'cyber security', 'owasp', 'information security', 'patch management', 'vulnerability assessment', 'nessus', 'technical support', 'firewall', 'linux', 'vapt', 'penetration testing', 'ethical hacking']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: Any Graduate', 'PG: Any Postgraduate']"
vehere technologies pvt.ltd,system administrator,system administrator,3-5,3,4.0,5,junior (3–5),mumbai,mumbai,mumbai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cyber security', 'onsite support', 'linux support', 'elastic search', 'customer handling']",0,0,0,0,0,0,0,0,0,0,0,"['Role: System Administrator / Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization']"
unknown company,system security engineer,system security engineer,2-6,2,4.0,6,junior (3–5),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['digital forensics', 'reverse engineering', 'malware analysis', 'log analysis', 'c++', 'endpoint security', 'cloud security', 'cyber security', 'network security', 'arcsight', 'soc', 'information security', 'siem', 'vulnerability assessment', 'linux', 'splunk']",0,0,0,0,0,0,0,0,0,0,0,"['Role: System Security Engineer', 'Industry Type: Recruitment / Staffing', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']"
unitedlex,accountant,accountant,0-2,0,1.0,2,entry (0–2),gurugram,delhi ncr,delhi ncr,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['administration', 'system maintenance', 'senior analyst', 'litigation', 'information security management', 'intellectual property', 'iso 27001', 'data analytics', 'customer service', 'auditing']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Accountant / Accounts Executive', 'Industry Type: Legal', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Accounting & Taxation', 'UG: Any Graduate', 'PG: Any Postgraduate']"
uplers,network manager,network manager,2-5,2,3.5,5,junior (3–5),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['firewall', 'network administration', 'tcp', 'security+', 'it administration', 'ip', 'ccna', 'itil certified', 'comptia', 'ccnp', 'fortinet', 'it security']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Network Manager / Administrator', 'Industry Type: Courier / Logistics (Logistics Tech)', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: Any Graduate']"
web and crafts,application security engineer,application security engineer,2-7,2,4.5,7,junior (3–5),thrissur,thrissur,thrissur,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['computer science', 'linux', 'testing tools', 'coding', 'information security', 'application security', 'windows', 'information technology', 'sql', 'android']",0,1,0,0,0,0,0,0,0,0,0,"['Role: Application Security Engineer', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']"
strydo technologies,embedded systems engineer,embedded systems engineer,0-2,0,1.0,2,entry (0–2),tirupati,tirupati,tirupati,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['embedded c', 'cyber security', 'coding', 'electronics', 'html', 'troubleshooting', 'arm', 'matlab', 'internship', 'data warehousing']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Embedded Systems Engineer', 'Industry Type: Education / Training', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: M.Tech in Electronics/Telecommunication']"
accenture,it support,it support,3-8,3,5.5,8,mid (6–8),chennai,chennai,chennai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['it security', 'information security', 'risk governance', 'application support', 'grc', 'it risk management', 'risk management', 'risk assessment', 'data analysis', 'cyber security', 'soc', 'auditing', 'internal audit', 'it audit', 'control testing', 'enterprise risk management', 'pci dss', 'sox']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']"
lyra network,it & information security,it & information security,6-9,6,7.5,9,mid (6–8),"mumbai, mumbai suburban, mumbai",mumbai,mumbai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['information security', 'pci dss', 'risk assessment', 'audit compliance', 'grc', 'web application firewall']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT & Information Security - Other', 'Industry Type: Banking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: Any Graduate']"
amgen inc,system security engineer,system security engineer,1-3,1,2.0,3,entry (0–2),hyderabad,hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['change management', 'ansible', 'troubleshooting', 'aws', 'python', 'cyber security', 'network security', 'arcsight', 'soc', 'dynatrace', 'information security', 'microsoft azure', 'networking', 'siem', 'react.js', 'incident management', 'linux', 'comptia', 'itil']",1,0,0,0,0,0,0,0,0,1,0,"['Role: System Security Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']"
bpm,it & information security,it & information security,5-6,5,5.5,6,mid (6–8),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['soc', 'information security', 'auditing', 'iso', 'grc', 'monitoring']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT & Information Security - Other', 'Industry Type: Accounting / Auditing', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: B.Sc in Any Specialization']"
strydo technologies,design engineer,design engineer,0-2,0,1.0,2,entry (0–2),tirupati,tirupati,tirupati,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cfd', 'cyber security', 'thermal engineering', 'ansys', 'thermal', 'html', 'mechanical design', 'troubleshooting', 'matlab', 'internship']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Design Engineer', 'Industry Type: Education / Training', 'Department: Production, Manufacturing & Engineering', 'Employment Type: Full Time, Permanent', 'Role Category: Engineering', 'UG: B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization']"
accelaero,it infrastructure services,it infrastructure services,5-10,5,7.5,10,mid (6–8),pune,pune,pune,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['email security', 'vapt', 'endpoint security', 'web application firewall', 'firewall', 'cloud security', 'proxy', 'infrastructure security']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT Infrastructure Services - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Other Graduate']"
erm placement services,cyber security,cyber security,2-7,2,4.5,7,junior (3–5),"hyderabad, bengaluru",hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,['cloud security'],0,0,0,0,0,0,0,0,0,0,0,"['Role: Cyber Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization']"
ahead,system security engineer,system security engineer,4-7,4,5.5,7,mid (6–8),gurugram,delhi ncr,delhi ncr,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['information security', 'vulnerability management', 'siem', 'log analysis', 'tcp', 'security analysis', 'network security', 'ip networking', 'soc', 'ip', 'ceh', 'networking', 'intrusion detection', 'cissp', 'firewall', 'linux', 'ids', 'troubleshooting']",0,0,0,0,0,0,0,0,0,0,0,"['Role: System Security Engineer', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']"
ahead,security engineer,security engineer,8-10,8,9.0,10,senior (9–12),gurugram,delhi ncr,delhi ncr,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['tcp', 'ip networking', 'firewall', 'linux', 'ids', 'security analysis', 'network security', 'soc', 'ceh', 'ip', 'networking', 'intrusion detection', 'cissp', 'troubleshooting']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']"
acesoft labs pvt ltd,security architect,security architect,6-10,6,8.0,10,mid (6–8),hyderabad,hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['iso 27001', 'cissp']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Temporary/Contractual', 'Role Category: IT Security', 'UG: Any Graduate']"
amgen inc,system security engineer,system security engineer,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['iam', 'gcp', 'troubleshooting', 'information systems', 'aws', 'information security', 'microsoft azure', 'access management', 'cissp', 'identity management', 'encryption', 'ldap', 'sailpoint', 'access control']",0,0,0,0,0,0,0,0,0,1,0,"['Role: System Security Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']"
erm placement services,security engineer,security engineer,4-7,4,5.5,7,mid (6–8),mumbai,mumbai,mumbai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cloud security', 'application security', 'network security']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization']"
amgen inc,security testing engineer,security testing engineer,1-3,1,2.0,3,entry (0–2),hyderabad,hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['security operations', 'python', 'cyber security', 'information security', 'owasp', 'simulation', 'automation testing', 'manual testing', 'test engineering', 'selenium', 'powershell', 'bash', 'penetration testing', 'testing methodologies', 'nmap']",1,0,0,0,0,0,0,0,0,0,0,"['Role: Security Testing Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']"
accuknox,manual test engineer,manual test engineer,0-1,0,0.5,1,entry (0–2),remote,remote,remote,mode,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['system architecture', 'stress testing', 'cloud security', 'load testing', 'testing tools', 'performance testing', 'vulnerability', 'test cases', 'penetration testing']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Manual Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']"
airtel,security engineer,security engineer,1-6,1,3.5,6,junior (3–5),delhi / ncr,delhi ncr,delhi ncr,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['soc', 'arcsight', 'siem', 'qradar', 'splunk', 'elastic search', 'security operations center', 'security monitoring']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Security Engineer / Analyst', 'Industry Type: Telecom / ISP', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']"
digiswitch infotech pvt ltd.,it support,it support,3-7,3,5.0,7,junior (3–5),noida,delhi ncr,delhi ncr,city,"50,000-70,000 P.A.",50000-70000,0.5,0.6,0.7,0-3 LPA,"['linux support', 'cyber security', 'siem']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Computer Technology, Maths, Information System Management, Physics, Computers, Statistics, Physics, Chemistry, Mathematics, Electronics']"
accenture,it support,it support,1-3,1,2.0,3,entry (0–2),gurugram,delhi ncr,delhi ncr,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['architectural design', 'enterprise mobility', 'troubleshooting', 'switching', 'tcp', 'network security', 'cyber security', 'ip', 'networking', 'network administration', 'siem', 'routing', 'system administration', 'technical support', 'firewall', 'ccna']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']"
accenture,it support,it support,2-7,2,4.5,7,junior (3–5),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['network security', 'technical support', 'firewall', 'security implementation', 'protocols', 'switching', 'security management', 'security operations', 'ecc', 'sap security', 'information security', 'sod', 'networking', 'hr security', 'authorization', 'sap bi security', 'sap grc', 'grc']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']"
strydo technologies,full stack developer,full stack developer,0-2,0,1.0,2,entry (0–2),tirupati,tirupati,tirupati,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['ms access', 'cyber security', 'coding', 'mysql', 'javascript', 'html', 'windows', 'troubleshooting', 'matlab', 'internship']",0,1,0,0,0,0,0,0,0,0,0,"['Role: Full Stack Developer', 'Industry Type: Education / Training', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: MCA in Computers, M.Tech in Any Specialization']"
unknown company,system security engineer,system security engineer,1-6,1,3.5,6,junior (3–5),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['mobile device management', 'cyber security', 'mdm', 'airwatch', 'infrastructure', 'sccm']",0,0,0,0,0,0,0,0,0,0,0,"['Role: System Security Engineer', 'Industry Type: Software Product', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: MCA in Any Specialization, M.Tech in Any Specialization']"
xiarch bharat,key account manager,key account manager,2-4,2,3.0,4,junior (3–5),gurugram,delhi ncr,delhi ncr,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['proposal preparation', 'service sales', 'sales coordination', 'quotation', 'brand promotion', 'sales management', 'sales executive activities']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Key Account Manager', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Enterprise & B2B Sales', 'UG: B.Com in Any Specialization, B.B.A/ B.M.S in Any Specialization, Any Graduate', 'PG: MBA/PGDM in Marketing']"
sbi general insurance,insurance sales,insurance sales,0-5,0,2.5,5,junior (3–5),"bengaluru, amravati, telangana",bangalore,bangalore,city,1.25-4.25 Lacs P.A.,1.25-4.25 lacs,1.25,2.75,4.25,0-3 LPA,"['insurance sales', 'agency sales', 'general insurance', 'sales', 'agency channel', 'lead generation', 'field sales']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Insurance Sales / BD Manager', 'Industry Type: Insurance', 'Department: BFSI, Investments & Trading', 'Employment Type: Full Time, Permanent', 'Role Category: General Insurance', 'UG: Any Graduate']"
